@relation dados

@attribute Loja {SantanaShopping, PinheirosShopping}
@attribute DiaDaSemana {segunda-feira, terca-feira, quarta-feira, quinta-feira, sexta-feira, Sabado, domingo}
@attribute Mes {Fevereiro, Marco}
@attribute PeriodoDoDia {Manha, Tarde, Noite}
@attribute Fluxo {SemFluxo, FluxoBaixo, FluxoModerado, FluxoAlto}
@attribute FluxoDaVitrine {VitrineNenhumMovimento, VitrineBaixo, VitrineMedio, VitrineAlto}
@attribute Temperatura {Frio, Morno, Quente, MuitoQuente}
@attribute PrevisaoDoTempo {SemChuva, PoucaChuva, ChuvaLeve, ChuvaModerada, ChuvaForte, Tempestade}
@attribute Atendimentos {SemAtendimento, 1-3Atendimentos, 4-6Atendimentos, 7-9Atendimentos, 10-12Atendimentos, 13-15Atendimentos, 19Atendimentos}

@data
SantanaShopping,Sabado,Fevereiro,Tarde,FluxoModerado,VitrineAlto,MuitoQuente,SemChuva,7-9Atendimentos
SantanaShopping,Sabado,Fevereiro,Noite,FluxoModerado,VitrineAlto,MuitoQuente,SemChuva,10-12Atendimentos
SantanaShopping,Sabado,Fevereiro,Noite,FluxoModerado,VitrineAlto,MuitoQuente,SemChuva,10-12Atendimentos
SantanaShopping,Sabado,Fevereiro,Noite,FluxoModerado,VitrineAlto,MuitoQuente,SemChuva,1-3Atendimentos
SantanaShopping,Sabado,Fevereiro,Noite,FluxoBaixo,VitrineMedio,MuitoQuente,SemChuva,1-3Atendimentos
SantanaShopping,domingo,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Quente,SemChuva,SemAtendimento
SantanaShopping,domingo,Fevereiro,Manha,FluxoBaixo,VitrineBaixo,Quente,SemChuva,SemAtendimento
SantanaShopping,domingo,Fevereiro,Manha,FluxoBaixo,VitrineMedio,MuitoQuente,SemChuva,1-3Atendimentos
SantanaShopping,domingo,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,MuitoQuente,SemChuva,4-6Atendimentos
SantanaShopping,domingo,Fevereiro,Tarde,FluxoBaixo,VitrineMedio,MuitoQuente,SemChuva,1-3Atendimentos
SantanaShopping,domingo,Fevereiro,Tarde,FluxoAlto,VitrineAlto,MuitoQuente,SemChuva,7-9Atendimentos
SantanaShopping,domingo,Fevereiro,Tarde,FluxoModerado,VitrineAlto,MuitoQuente,SemChuva,4-6Atendimentos
SantanaShopping,domingo,Fevereiro,Tarde,FluxoAlto,VitrineAlto,MuitoQuente,SemChuva,10-12Atendimentos
SantanaShopping,domingo,Fevereiro,Tarde,FluxoAlto,VitrineBaixo,MuitoQuente,SemChuva,4-6Atendimentos
